year,temperature-ssp370
2015,0.7951864417936031
2016,0.8165168587895599
2017,0.9475639872209644
2018,1.0699227097887192
2019,1.0006573344039866
2020,0.9844568968308444
2021,1.0857146943593254
2022,0.979501207519714
2023,0.6846549572046817
2024,0.4910997692303856
2025,0.5758393173986648
2026,0.8999906473669652
2027,1.2420520472020533
2028,1.167017080477377
2029,0.9006136936409886
2030,0.8077880979711758
2031,0.9912314068727506
2032,1.0779377690920133
2033,1.2674920284249678
2034,1.5414538945278395
2035,1.3328036182059058
2036,1.0584440879042787
2037,1.099641672093086
2038,1.1338745223763227
2039,1.10894540281129
2040,1.1563796338107153
2041,1.3149728528585325
2042,1.5162336338709705
2043,1.5040964812802275
2044,1.3469522427055964
2045,1.2663720452663785
2046,1.1862514676007825
2047,1.2791028524393477
2048,1.505615776130102
2049,1.6870287300299447
2050,1.6382215272753946
2051,1.4369266838283343
2052,1.5060666711604722
2053,1.641294453705497
2054,1.6506869289737294
2055,1.6751402114557081
2056,1.7424726258644438
2057,1.7904810403087
2058,1.9843571167079261
2059,1.5956158964797018
2060,1.6652615112478673
2061,1.8183253042164347
2062,1.9075342282953263
2063,1.6750817879671298
2064,1.678339403915769
2065,1.9374983458635355
2066,2.2294264231619483
2067,2.0744326545312806
2068,2.1068509466249097
2069,2.190550592657951
2070,2.1661286993778717
2071,2.2810065493143794
2072,2.301702011423307
2073,2.21785509183352
2074,2.1420522782021405
2075,2.3422371961172503
2076,2.1751243579516535
2077,1.9930865639348512
2078,2.1542948099289885
2079,2.4252769233746534
2080,2.7125527556950413
2081,2.5526434453302014
2082,2.6730858804828346
2083,2.823920574183395
2084,2.8580821375756194
2085,2.741854875042603
2086,2.538053765896226
2087,2.696786360237892
2088,3.162473660256767
2089,3.091193179655162
2090,2.743802370592182
2091,2.818721116584024
2092,3.090136524549585
2093,2.9556715274501495
2094,2.718563303827356
2095,2.797248197191963
2096,3.1284208749852134
2097,3.2125157645160467
2098,3.0804603979569154
2099,3.2860237357058786
2100,3.4897021634037158
